##############################################################################################################################################
-vCenter LOG-: 2013-10-21 14:20:06.978	Adding portGroup: pg99
-vCenter LOG-: 2013-10-21 14:20:09.091	Adding portGroup: pg100
-vCenter LOG-: 2013-10-21 14:20:11.176	Adding vSwitch: vS10
-vCenter LOG-: 2013-10-21 14:20:11.176	Enabling CDP for: vS10
-vCenter LOG-: 2013-10-21 14:20:22.832	Adding portGroup: pg101
-vCenter LOG-: 2013-10-21 14:20:26.073	Adding portGroup: pg102
-vCenter LOG-: 2013-10-21 14:20:39.488	Adding portGroup: pg103
-vCenter LOG-: 2013-10-21 14:20:40.033	Adding portGroup: pg104
-vCenter LOG-: 2013-10-21 14:20:42.433	Adding portGroup: pg105
-vCenter LOG-: 2013-10-21 14:20:55.61	Adding portGroup: pg106
-vCenter LOG-: 2013-10-21 14:20:56.182	Adding portGroup: pg107
-vCenter LOG-: 2013-10-21 14:20:58.718	Adding portGroup: pg108
-vCenter LOG-: 2013-10-21 14:21:11.84	Adding portGroup: pg109
-vCenter LOG-: 2013-10-21 14:21:12.438	Adding portGroup: pg110
-vCenter LOG-: 2013-10-21 14:21:14.859	Adding vSwitch: vS11
-vCenter LOG-: 2013-10-21 14:21:14.859	Enabling CDP for: vS11
-vCenter LOG-: 2013-10-21 14:21:29.156	Adding portGroup: pg111
-vCenter LOG-: 2013-10-21 14:21:29.722	Adding portGroup: pg112
-vCenter LOG-: 2013-10-21 14:21:32.2	Adding portGroup: pg113
-vCenter LOG-: 2013-10-21 14:21:45.537	Adding portGroup: pg114
-vCenter LOG-: 2013-10-21 14:21:46.122	Adding portGroup: pg115
-vCenter LOG-: 2013-10-21 14:21:48.998	Adding portGroup: pg116
-vCenter LOG-: 2013-10-21 14:22:02.1	Adding portGroup: pg117
-vCenter LOG-: 2013-10-21 14:22:02.694	Adding portGroup: pg118
-vCenter LOG-: 2013-10-21 14:22:05.265	Adding portGroup: pg119
-vCenter LOG-: 2013-10-21 14:22:18.929	Adding portGroup: pg120
-vCenter LOG-: 2013-10-21 14:22:19.536	Adding vSwitch: vS12
-vCenter LOG-: 2013-10-21 14:22:19.536	Enabling CDP for: vS12
-vCenter LOG-: 2013-10-21 14:22:22.109	Adding portGroup: pg121
-vCenter LOG-: 2013-10-21 14:22:35.606	Adding portGroup: pg122
-vCenter LOG-: 2013-10-21 14:22:36.251	Adding portGroup: pg123
-vCenter LOG-: 2013-10-21 14:22:38.908	Adding portGroup: pg124
-vCenter LOG-: 2013-10-21 14:22:52.542	Adding portGroup: pg125
-vCenter LOG-: 2013-10-21 14:22:53.231	Adding portGroup: pg126
-vCenter LOG-: 2013-10-21 14:22:56.01	Adding portGroup: pg127
-vCenter LOG-: 2013-10-21 14:23:09.874	Adding portGroup: pg128
